|       chances | eromapper_idx |        ra |       dec | best_z | best_zerr | best_z_type | lambda | lambda_e | dist (arcmin) | dist (Mpc) | dist (r200) | vpec (km/s) | is_main |     m200 | r200 |  d200 |
|    Abell 0957 |        168396 | 154.20303 |  -0.85037 | 0.0667 |    0.0065 | spec_z_boot |    6.2 |      1.1 |         47.86 |       2.62 |        2.10 |        6212 |       0 | 2.57e+13 | 0.61 |  7.68 |
|    Abell 0957 |         27313 | 153.96872 |   0.08832 | 0.0715 |    0.0004 |   cg_spec_z |   11.2 |      1.3 |         69.02 |       3.78 |        3.02 |        7602 |       0 | 5.71e+13 | 0.79 |  9.39 |
|    Abell 0957 |       3270064 | 152.22569 |  -0.28026 | 0.0699 |    0.0004 |   cg_spec_z |    9.2 |      5.0 |         80.54 |       4.41 |        3.53 |        7131 |       0 | 4.34e+13 | 0.73 |  8.76 |
|    Abell 0957 |       3522368 | 154.50813 |   0.03427 | 0.0643 |    0.0012 | spec_z_boot |   11.6 |      2.7 |         87.22 |       4.78 |        3.82 |        5533 |       0 | 5.95e+13 | 0.81 | 10.53 |
|    Abell 0957 |       1982731 | 153.84528 |   0.54924 | 0.0754 |    0.0068 | spec_z_boot |    6.5 |      1.4 |         91.75 |       5.02 |        4.02 |        8715 |       0 | 2.73e+13 | 0.62 |  6.99 |
|    Abell 0957 |       1077303 | 154.56656 |  -2.11315 | 0.0467 |    0.0004 |   cg_spec_z |    5.7 |      1.2 |         99.94 |       5.47 |        4.38 |         488 |       0 | 2.29e+13 | 0.59 | 10.39 |
|    Abell 0957 |       2566233 | 154.70007 |   0.38513 | 0.0739 |    0.0097 | spec_z_boot |    4.8 |      1.3 |        110.02 |       6.02 |        4.82 |        8284 |       0 | 1.82e+13 | 0.54 |  6.22 |
|    Abell 0957 |        125435 | 153.22705 |  -2.76831 | 0.0598 |    0.0004 |   cg_spec_z |    7.7 |      1.5 |        111.67 |       6.11 |        4.89 |        4246 |       0 | 3.44e+13 | 0.67 |  9.39 |
|    Abell 0957 |       2462828 | 152.49743 |  -2.54025 | 0.0608 |    0.0004 | spec_z_boot |   11.5 |      1.3 |        111.71 |       6.12 |        4.89 |        4519 |       0 | 5.86e+13 | 0.80 | 11.04 |
|    Abell 0957 |       2883255 | 152.08527 |  -2.28394 | 0.0729 |    0.0141 |     photo_z |    4.7 |      1.9 |        114.15 |       6.25 |        5.00 |        8003 |       0 | 1.76e+13 | 0.54 |  6.23 |
|    Abell 0970 |        658794 | 154.24363 | -10.63489 | 0.0594 |    0.0004 | spec_z_boot |   48.7 |      3.0 |          8.88 |       0.63 |        0.43 |         100 |       1 | 4.06e+14 | 1.53 | 21.53 |
|    Abell 0970 |       1431019 | 153.92886 | -10.90026 | 0.0568 |    0.0005 | spec_z_boot |   18.0 |      2.2 |         30.64 |       2.18 |        1.47 |        -625 |       0 | 1.07e+14 | 0.98 | 14.41 |
|    Abell 0970 |       3464085 | 155.00675 | -11.03849 | 0.0862 |    0.0105 |     photo_z |    8.2 |      1.2 |         42.62 |       3.03 |        2.04 |        7704 |       0 | 3.78e+13 | 0.69 |  6.87 |
|    Abell 0970 |        184425 | 154.40290 |  -9.84354 | 0.0745 |    0.0002 |   cg_spec_z |    9.2 |      5.3 |         49.35 |       3.50 |        2.37 |        4389 |       0 | 4.37e+13 | 0.73 |  8.27 |
|    Abell 0970 |        857845 | 154.32286 |  -9.70250 | 0.0627 |    0.0004 |   cg_spec_z |    6.1 |      1.9 |         57.95 |       4.11 |        2.78 |        1047 |       0 | 2.50e+13 | 0.60 |  8.07 |
|    Abell 0970 |         75205 | 154.50416 |  -9.61430 | 0.0564 |    0.0002 |   cg_spec_z |    6.1 |      3.3 |         63.46 |       4.50 |        3.04 |        -738 |       0 | 2.51e+13 | 0.61 |  8.94 |
|    Abell 0970 |       1717017 | 154.13895 |  -9.50795 | 0.0659 |    0.0004 |   cg_spec_z |    3.7 |      1.3 |         71.06 |       5.04 |        3.41 |        1959 |       0 | 1.31e+13 | 0.49 |  6.21 |
|    Abell 0970 |        753745 | 153.51401 |  -9.47033 | 0.0633 |    0.0160 |     photo_z |    5.1 |      1.3 |         88.49 |       6.28 |        4.24 |        1217 |       0 | 2.01e+13 | 0.56 |  7.43 |
|    Abell 1069 |       2755649 | 159.93419 |  -8.58329 | 0.0653 |    0.0008 | spec_z_boot |   25.5 |      3.0 |          5.99 |       0.44 |        0.40 |         928 |       1 | 1.71e+14 | 1.15 | 14.75 |
|    Abell 1069 |         29679 | 160.17852 |  -8.78699 | 0.0652 |    0.0009 | spec_z_boot |    8.3 |      1.5 |         16.05 |       1.19 |        1.08 |         911 |       0 | 3.83e+13 | 0.70 |  8.96 |
|    Abell 1069 |       2663901 | 160.43935 |  -8.24777 | 0.0655 |    0.0002 |   cg_spec_z |    5.7 |      1.2 |         39.98 |       2.96 |        2.69 |         991 |       0 | 2.31e+13 | 0.59 |  7.55 |
|    Abell 1069 |       3150944 | 160.14872 |  -7.99970 | 0.0686 |    0.0080 | spec_z_boot |   10.4 |      2.0 |         43.02 |       3.19 |        2.90 |        1877 |       0 | 5.15e+13 | 0.77 |  9.43 |
|    Abell 1069 |       1579439 | 160.73514 |  -7.97912 | 0.0646 |    0.0000 |   cg_spec_z |    3.8 |      1.2 |         63.82 |       4.73 |        4.30 |         721 |       0 | 1.32e+13 | 0.49 |  6.34 |
|    Abell 1520 |          1663 | 184.82230 | -13.24732 | 0.0690 |    0.0007 | spec_z_boot |    8.2 |      1.4 |          0.95 |       0.08 |        0.05 |         294 |       0 | 3.73e+13 | 0.69 |  8.42 |
|    Abell 1520 |         26589 | 184.89568 | -13.43655 | 0.0730 |    0.0076 | spec_z_boot |   10.1 |      4.7 |         11.22 |       0.91 |        0.61 |        1413 |       0 | 4.96e+13 | 0.76 |  8.79 |
|    Abell 1520 |       1212427 | 185.08361 | -13.36975 | 0.0698 |    0.0002 |   cg_spec_z |   11.4 |      2.3 |         16.09 |       1.30 |        0.88 |         507 |       1 | 5.80e+13 | 0.80 |  9.66 |
|    Abell 1520 |         18459 | 184.97471 | -13.63918 | 0.0734 |    0.0002 |   cg_spec_z |   15.0 |      1.6 |         24.23 |       1.96 |        1.32 |        1526 |       0 | 8.37e+13 | 0.90 | 10.40 |
|    Abell 1520 |        100173 | 184.45991 | -13.68521 | 0.1019 |    0.0089 |     photo_z |    8.6 |      1.5 |         33.50 |       2.71 |        1.83 |        9520 |       0 | 4.00e+13 | 0.70 |  6.00 |
|    Abell 1520 |       1046713 | 184.82225 | -13.83647 | 0.1006 |    0.0072 |     photo_z |   22.6 |      4.8 |         34.59 |       2.80 |        1.89 |        9156 |       0 | 1.46e+14 | 1.07 |  9.34 |
|    Abell 1520 |        339664 | 184.25041 | -13.37379 | 0.0676 |    0.0002 |   cg_spec_z |    3.4 |      1.3 |         34.64 |       2.80 |        1.89 |        -116 |       0 | 1.17e+13 | 0.47 |  5.84 |
|    Abell 1520 |       3310130 | 185.16984 | -13.90704 | 0.0829 |    0.0138 |     photo_z |    3.3 |      1.2 |         43.53 |       3.52 |        2.38 |        4188 |       0 | 1.11e+13 | 0.46 |  4.73 |
|    Abell 1520 |       3263407 | 185.37960 | -13.90047 | 0.1027 |    0.0002 |   cg_spec_z |   10.4 |      1.7 |         49.96 |       4.04 |        2.73 |        9737 |       0 | 5.17e+13 | 0.76 |  6.49 |
|    Abell 1520 |         57860 | 185.79223 | -13.73899 | 0.0921 |    0.0004 |   cg_spec_z |   10.9 |      1.3 |         62.96 |       5.09 |        3.44 |        6773 |       0 | 5.49e+13 | 0.78 |  7.32 |
|    Abell 1520 |       1393442 | 184.27032 | -12.22867 | 0.0820 |    0.0002 |   cg_spec_z |    5.1 |      1.2 |         70.07 |       5.67 |        3.83 |        3921 |       0 | 2.01e+13 | 0.56 |  5.83 |
|    Abell 1520 |         59064 | 185.66526 | -14.29280 | 0.0678 |    0.0006 | spec_z_boot |   26.3 |      3.3 |         78.72 |       6.37 |        4.30 |         -43 |       0 | 1.79e+14 | 1.16 | 14.43 |
|    Abell 1631 |       2525421 | 192.99702 | -15.40002 | 0.0473 |    0.0004 | spec_z_boot |   29.2 |      9.4 |         12.66 |       0.73 |        0.56 |          97 |       1 | 2.04e+14 | 1.22 | 21.24 |
|    Abell 1631 |        174940 | 192.53679 | -14.99884 | 0.0468 |    0.0009 | spec_z_boot |    6.6 |      2.7 |         46.10 |       2.64 |        2.03 |         -60 |       0 | 2.77e+13 | 0.63 | 11.04 |
|    Abell 1631 |       1461522 | 192.87670 | -14.33837 | 0.0430 |    0.0014 | spec_z_boot |    8.8 |      1.8 |         66.66 |       3.82 |        2.94 |       -1143 |       0 | 4.10e+13 | 0.72 | 13.64 |
|    Abell 1631 |       3014337 | 194.38463 | -15.72922 | 0.0501 |    0.0158 |     photo_z |    4.4 |      0.9 |         70.38 |       4.04 |        3.11 |         899 |       0 | 1.62e+13 | 0.53 |  8.63 |
|    Abell 1644 |        484076 | 194.37111 | -17.93878 | 0.0480 |    0.0002 |   cg_spec_z |    5.5 |      1.4 |         32.62 |       1.90 |        1.08 |          -5 |       0 | 2.18e+13 | 0.58 |  9.95 |
|    Abell 1644 |       3014337 | 194.38463 | -15.72922 | 0.0501 |    0.0158 |     photo_z |    4.4 |      0.9 |        100.38 |       5.85 |        3.32 |         612 |       0 | 1.62e+13 | 0.53 |  8.63 |
|    Abell 1644 |       2920298 | 195.93251 | -16.80329 | 0.0446 |    0.0046 | spec_z_boot |    6.2 |      1.4 |        100.50 |       5.85 |        3.33 |        -960 |       0 | 2.58e+13 | 0.61 | 11.27 |
