| CHANCES_FIELD | CHANCES_z | CHANCES_M200c | CHANCES_R200c_deg |     AXES | 2MRS | z_LEGACY | LAMBDA | LEGACY |      z |      RA_X |     DEC_X |        Lx |       eLx |     M200c |    eM200c | R200c_deg | CHANCES_DIST_deg | CHANCES_DIST_R200c | VPEC_kms |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93213603 |    0 |   0.1241 |  63.77 |      1 | 0.1241 | 207.24879 | -25.39061 | 1.824e+44 | 3.045e+43 | 7.623e+14 | 7.949e+13 |    0.2250 |           4.9361 |               4.14 |    31897 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233140 |    1 |   0.0490 |  44.98 |      1 | 0.0504 | 203.09537 | -33.11216 | 9.967e+43 | 8.320e+42 | 3.720e+14 | 1.959e+13 |    0.4064 |           4.5178 |               3.79 |    10150 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233116 |    1 |   0.0493 | 137.07 |      1 | 0.0478 | 202.18538 | -31.54277 | 4.691e+44 | 1.651e+43 | 1.004e+15 | 2.249e+13 |    0.5949 |           4.5338 |               3.80 |     9383 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93223310 |    1 |   0.0393 |  27.19 |      1 | 0.0464 | 201.78335 | -27.18123 | 1.509e+44 | 9.181e+42 | 4.867e+14 | 1.875e+13 |    0.4812 |           5.7518 |               4.82 |     8970 |
|         A3574 |    0.0160 |     3.270e+14 |            1.1921 | 93233210 |    1 |   0.0485 |  41.96 |      1 | 0.0497 | 203.50577 | -31.67597 | 1.628e+44 | 1.038e+43 | 5.095e+14 | 2.056e+13 |    0.4569 |           3.5034 |               2.94 |     9944 |
|         A3651 |    0.0606 |     5.530e+14 |            0.3901 | 93273310 |    0 |   0.0569 |  27.34 |      1 | 0.0569 | 299.48813 | -55.10088 | 4.199e+43 | 8.254e+42 | 3.131e+14 | 3.828e+13 |    0.3451 |           0.8818 |               2.26 |    -1046 |
|         A3667 |    0.0553 |     1.070e+15 |            0.5298 | 93273310 |    0 |   0.0569 |  27.34 |      1 | 0.0569 | 299.48813 | -55.10088 | 4.199e+43 | 8.254e+42 | 3.131e+14 | 3.828e+13 |    0.3451 |           2.6408 |               4.98 |      455 |
|         A4059 |    0.0488 |     8.200e+14 |            0.5466 | 93235531 |    0 |   0.0578 |  13.23 |      1 | 0.0578 | 357.87450 | -34.46237 | 2.189e+43 | 4.805e+42 | 2.059e+14 | 2.800e+13 |    0.2961 |           1.1388 |               2.08 |     2573 |
|         A4059 |    0.0488 |     8.200e+14 |            0.5466 | 93230130 |    0 |   0.1138 |  94.14 |      1 | 0.1138 |   1.48138 | -34.68636 | 2.417e+44 | 2.931e+43 | 9.212e+14 | 7.032e+13 |    0.2594 |           1.8625 |               3.41 |    18580 |
|         A4059 |    0.0488 |     8.200e+14 |            0.5466 | 93230102 |    0 |   0.0499 |  31.25 |      1 | 0.0499 |   0.80319 | -35.96290 | 5.615e+43 | 5.613e+42 | 3.795e+14 | 2.396e+13 |    0.4171 |           1.7811 |               3.26 |      314 |
|         AS560 |    0.0375 |     9.910e+13 |            0.3483 | 93280989 |    1 |  -1.0000 |  -1.00 |      0 | 0.0368 |  90.54805 | -60.01706 | 7.943e+42 | 1.049e+42 | 7.450e+13 | 6.154e+12 |    0.3219 |           1.4233 |               4.09 |     -202 |
|        Antlia |    0.0104 |     1.010e+14 |            1.2341 | 93242311 |    1 |  -1.0000 |  -1.00 |      0 | 0.0189 | 152.26268 | -39.69835 | 1.386e+42 | 6.074e+41 | 2.471e+13 | 6.472e+12 |    0.4269 |           5.8941 |               4.78 |     2522 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240805 |    1 |  -1.0000 |  -1.00 |      0 | 0.0055 |  50.61496 | -37.11883 | 7.876e+41 | 1.614e+41 | 1.739e+13 | 2.204e+12 |    1.2830 |           3.7226 |               1.49 |      298 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93230802 |    1 |  -1.0000 |  -1.00 |      0 | 0.0046 |  52.07648 | -35.89793 | 1.684e+42 | 2.823e+41 | 2.830e+13 | 2.952e+12 |    1.8266 |           2.1979 |               0.88 |       30 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93220701 |    1 |  -1.0000 |  -1.00 |      0 | 0.0223 |  42.39926 | -31.07239 | 1.145e+43 | 1.141e+42 | 9.522e+13 | 5.970e+12 |    0.5686 |          11.1600 |               4.46 |     5312 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240704 |    0 |   0.0807 |  24.21 |      1 | 0.0807 |  48.41980 | -38.33794 | 3.188e+43 | 6.547e+42 | 2.575e+14 | 3.283e+13 |    0.2328 |           5.8254 |               2.33 |    22742 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93230704 |    0 |   0.0227 |  15.34 |      1 | 0.0227 |  42.40878 | -31.16832 | 1.340e+43 | 1.204e+42 | 1.543e+14 | 8.774e+12 |    0.6631 |          11.1108 |               4.45 |     5432 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93231007 |    0 |   0.3582 |  76.74 |      1 | 0.3582 |  59.22522 | -34.53482 | 8.705e+44 | 2.492e+44 | 1.689e+15 | 2.966e+14 |    0.1197 |           3.7987 |               1.52 |   105562 |
|        Fornax |    0.0045 |     6.920e+13 |            2.4995 | 93240829 |    0 |   0.1748 |  85.22 |      1 | 0.1748 |  54.02601 | -40.64158 | 4.441e+44 | 7.263e+43 | 1.294e+15 | 1.323e+14 |    0.1982 |           5.2683 |               2.11 |    50826 |
