|               name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |       Abell |  CODEX |             ACT-DR5 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| PSZ2 G255.52-35.66 |   78.70656 | -49.04580 | 0.091 | 255.53 |  2.14 |    False |    True |               |                    |  ABELL 3330 |  91897 |                     |                 |          |                   |
| PSZ2 G262.27-35.38 |   79.14697 | -54.53433 | 0.295 | 262.27 |  8.76 |     True |   False |               | PSZ2 G262.27-35.38 | ABELL S0520 |  94804 | ACT-CL J0516.6-5430 |                 |          | MCXC J0516.6-5430 |
| PSZ2 G224.53-30.27 |   79.26717 | -22.61290 | 0.200 | 224.54 |  3.72 |    False |   False |               |                    | ABELL S0519 |  73520 | ACT-CL J0516.9-2237 |                 |          |                   |
| PSZ2 G215.24-26.10 |   80.17580 | -13.46901 | 0.336 | 215.25 |  6.24 |    False |    True |               |                    |             |  65279 | ACT-CL J0520.7-1328 |                 |          | PSZ1 G215.29-26.0 |
| PSZ2 G245.70-33.75 |   80.38411 | -40.83413 | 0.076 | 245.70 |  1.94 |    False |    True |               |                    |  ABELL 3336 |  85026 |                     |                 |          |                   |
| PSZ2 G254.66-34.45 |   80.49158 | -48.28476 | 0.296 | 254.66 |  3.72 |    False |   False |               |                    |  ABELL 3338 |        | ACT-CL J0522.2-4818 |                 |          |                   |
| PSZ2 G253.48-33.72 |   81.46259 | -47.26231 | 0.191 | 253.49 |  4.67 |    False |    True |               |                    |  ABELL 3343 |  88679 | ACT-CL J0525.8-4715 |                 |          | MCXC J0525.8-4715 |
| PSZ2 G234.06-30.74 |   81.49206 | -30.58751 | 0.199 | 234.06 |  4.31 |    False |    True |               |                    |  ABELL 3342 |  77779 | ACT-CL J0525.8-3035 |                 |          |                   |
| PSZ2 G233.25-30.01 |   82.08003 | -29.71756 | 0.158 | 233.25 |  3.35 |    False |   False |               |                    |             |  77764 | ACT-CL J0528.2-2942 |                 |          |                   |
| PSZ2 G244.37-32.15 |   82.20119 | -39.47749 | 0.284 | 244.38 |  7.41 |    False |    True |               | PSZ2 G244.37-32.15 |             |  85000 | ACT-CL J0528.8-3927 |                 |          | MCXC J0528.9-3927 |
| PSZ2 G225.56-27.27 |   82.65066 | -22.45935 | 0.171 | 225.57 |  3.54 |    False |   False |               |                    |  ABELL 0543 |  73516 | ACT-CL J0530.6-2227 |                 |          |                   |
| PSZ2 G286.62-31.24 |   82.84024 | -75.19310 | 0.210 | 286.62 |  5.68 |    False |    True |        MC0148 |                    |             |        |                     |                 |          |                   |
| PSZ2 G263.24-33.18 |   82.95368 | -55.35893 | 0.300 | 263.24 |  4.01 |    False |   False |               |                    |             |  94822 |                     |                 |          |                   |
