|   name |               Cluster Name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |                    CHANCES |                   Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
|  63687 |                 ABELL 2350 |  -36.98633 |  -5.91123 | 0.086 |  47.73 |  34.47 |    False |   False |                            |              ABELL 2350 |  63687 |                     |                    |                 |          |                   |
|  68047 |                      68047 |  -25.19995 | -10.29127 | 0.086 |  50.69 |  21.39 |    False |   False |                            |                         |  68047 |                     |                    |                 |          |                   |
|  68000 |                      68000 |  -31.79458 | -12.43699 | 0.086 |  43.26 |  25.39 |    False |   False |                            |                         |  68000 |                     |                    |                 |          |                   |
|  78906 |                      78906 |  175.46993 | -25.55335 | 0.087 | 283.78 |  30.62 |    False |   False |                            |                         |  78906 |                     |                    |                 |          |                   |
|  96929 |                 ABELL 2819 |   11.51213 | -63.57532 | 0.087 | 303.94 |  63.59 |    False |    True |                            |              ABELL 2819 |  96929 |                     |                    |                 |          |                   |
|  59759 |                 ABELL 0066 |    9.18968 |  -5.21093 | 0.087 | 113.22 |  23.85 |    False |   False |                            |              ABELL 0066 |  59759 |                     |                    |                 |          |                   |
|  59974 |                      59974 |   27.09336 |  -4.10240 | 0.087 | 155.96 |  31.00 |    False |   False |                            |                         |  59974 |                     |                    |                 |          |                   |
|  56837 |                 ABELL 0653 |  125.45472 |   1.19502 | 0.088 | 222.56 |  67.16 |    False |    True |                            |              ABELL 0653 |  56837 | ACT-CL J0821.8+0111 | PSZ2 G222.52+20.58 |                 |          |                   |
|  91189 |                 ABELL 2782 |    7.56209 | -53.41022 | 0.088 | 310.00 |  39.06 |    False |    True |                            |              ABELL 2782 |  91189 |                     |                    |                 |          |                   |
|  76527 |                 ABELL 2556 |  -11.75042 | -21.63462 | 0.088 |  41.34 |  39.10 |    False |    True |                            |              ABELL 2556 |  76527 |                     | PSZ2 G041.43-66.81 |           A2556 |          |                   |
|  83621 |                 ABELL 3705 |  -49.52937 | -35.19610 | 0.088 |   7.76 |  50.07 |    False |    True |                            |              ABELL 3705 |  83621 | ACT-CL J2041.5-3508 | PSZ2 G007.76-36.83 |                 |          |                   |
|  91119 |                      91119 |  -12.32444 | -43.80186 | 0.088 | 346.92 |  27.11 |    False |   False |                            |                         |  91119 |                     |                    |                 |          |                   |
|  56838 |                      56838 |  125.42692 |   1.02604 | 0.089 | 222.70 |  44.18 |    False |    True |                            |                         |  56838 |                     |                    |                 |          |                   |
|  54601 |                      54601 |  -37.52991 |   3.12956 | 0.089 |  56.71 |  30.10 |    False |   False |                            |                         |  54601 |                     |                    |                 |          |                   |
|  67979 |                      67979 |  -33.24625 | -10.32779 | 0.089 |  44.99 |  23.97 |    False |   False |                            |                         |  67979 |                     |                    |                 |          |                   |
|  63834 |                 ABELL 2442 |  -23.54016 |  -6.59395 | 0.089 |  56.93 |  48.07 |    False |    True |                            |              ABELL 2442 |  63834 |                     |                    |                 |          |                   |
|  62233 |                 ABELL 1482 | -177.27008 |  -5.71128 | 0.089 | 284.83 |  24.35 |    False |   False |                            |              ABELL 1482 |  62233 |                     |                    |                 |          |                   |
|  87769 |                 ABELL 3998 |   -9.60835 | -41.89384 | 0.089 | 348.32 |  36.51 |    False |   False |                            |              ABELL 3998 |  87769 | ACT-CL J2321.5-4153 |                    |           A3998 |          |                   |
|  94197 |                 ABELL 2782 |    7.56802 | -53.44699 | 0.090 | 309.98 |  38.89 |    False |   False |                            |              ABELL 2782 |  94197 |                     |                    |                 |          |                   |
|  59380 |                 ABELL 2440 |  -24.03714 |  -1.62955 | 0.090 |  62.41 |  71.66 |    False |    True |                            |              ABELL 2440 |  59380 |                     | PSZ2 G062.44-46.43 |           A2440 |          |                   |
|  68918 |                 ABELL 0367 |   39.15174 | -19.37792 | 0.090 | 200.73 |  61.30 |    False |    True |                            |              ABELL 0367 |  68918 |                     | PSZ2 G200.63-64.71 |                 |          |                   |
|  91897 |                 ABELL 3330 |   78.66381 | -49.03557 | 0.090 | 255.51 |  40.06 |    False |    True |                            |              ABELL 3330 |  91897 |                     | PSZ2 G255.52-35.66 |                 |          |                   |
|  60643 |                 ABELL 0531 |   75.33268 |  -3.53564 | 0.091 | 202.97 |  66.45 |    False |    True |                            |              ABELL 0531 |  60643 |                     |                    |                 |          |                   |
|  68549 |                      68549 |   14.92136 | -18.28958 | 0.091 | 135.49 |  24.02 |    False |   False |                            |                         |  68549 |                     |                    |                 |          |                   |
|  91014 |                 ABELL 3862 |  -25.00429 | -45.96271 | 0.091 | 350.53 |  42.92 |    False |    True |                            |              ABELL 3862 |  91014 |                     |                    |                 |          |                   |
|  58221 |                 ABELL 2030 | -132.14647 |  -0.04977 | 0.091 | 359.80 |  28.78 |    False |   False |                            |              ABELL 2030 |  58221 |                     |                    |                 |          |                   |
|  59343 |                      59343 |  -25.29659 |  -2.96189 | 0.092 |  59.76 |  52.63 |    False |    True |                            |                         |  59343 |                     | PSZ2 G059.72-46.21 |                 |          |                   |
|  73611 |                 ABELL 3365 |   87.18580 | -21.89333 | 0.092 | 226.62 |  33.41 |    False |   False |                            |              ABELL 3365 |  73611 |                     |                    |                 |          |        Abell 3365 |
|  65953 |                 ABELL 0761 |  137.64815 | -10.58158 | 0.092 | 240.37 |  51.32 |    False |    True |                            |              ABELL 0761 |  65953 |                     |                    |            A761 |          |                   |
|  63805 |                      63805 |  -25.28352 |  -3.59370 | 0.092 |  59.04 |  53.64 |    False |    True |                            |                         |  63805 |                     |                    |                 |          |                   |
|  63807 |                      63807 |  -25.44249 |  -3.81852 | 0.093 |  58.64 |  81.51 |     True |   False |                            |                         |  63807 | ACT-CL J2218.6-0345 |                    | RXCJ2218.2-0350 |          |                   |
|  73714 |                      73714 |   89.55388 | -21.39946 | 0.093 | 227.00 |  26.76 |    False |   False |                            |                         |  73714 |                     |                    |                 |          |                   |
|  97044 |                ABELL S0194 |   26.99321 | -62.87603 | 0.093 | 292.26 |  28.79 |    False |   False |                            |             ABELL S0194 |  97044 |                     |                    |                 |          |                   |
|  99570 |                 ABELL 3021 |   36.56407 | -67.05657 | 0.093 | 289.51 |  24.81 |    False |   False |                            |              ABELL 3021 |  99570 |                     | PSZ2 G289.50-47.49 |                 |          |                   |
|  97725 |                ABELL S0567 |   91.49937 | -62.81531 | 0.093 | 272.11 |  37.59 |    False |   False |                            |             ABELL S0567 |  97725 |                     | PSZ2 G272.08-29.06 |                 |          |                   |
|  59386 |                      59386 |  -27.01335 |  -2.43160 | 0.093 |  58.89 |  35.46 |    False |   False |                            |                         |  59386 |                     |                    |                 |          |                   |
|  99375 |                 ABELL 3921 |  -17.53180 | -64.42377 | 0.094 | 321.97 |  42.89 |    False |    True |                            |              ABELL 3921 |  99375 |                     | PSZ2 G321.98-47.96 |           A3921 |    A3921 |                   |
|  57250 |                 ABELL 0954 |  153.43923 |  -0.10515 | 0.094 | 242.06 |  36.65 |    False |   False |                            |              ABELL 0954 |  57250 |                     |                    |                 |          |                   |
|  97502 |                      97502 |   85.64766 | -61.90198 | 0.094 | 270.99 |  34.05 |    False |   False |                            |                         |  97502 |                     | PSZ2 G270.95-31.78 |                 |          |                   |
|  59557 |                      59557 |   -6.64867 |  -1.16003 | 0.094 |  83.89 |  35.47 |    False |   False |                            |                         |  59557 |                     |                    |                 |          |                   |
|  63806 |                      63806 |  -25.32268 |  -3.78781 | 0.094 |  58.78 |  78.64 |    False |    True |                            |                         |  63806 | ACT-CL J2218.6-0345 |                    | RXCJ2218.2-0350 |          |                   |
| 101367 |                     101367 |  -25.49600 | -65.18619 | 0.094 | 324.53 |  44.44 |    False |    True |                            |                         | 101367 |                     | PSZ2 G324.54-44.97 |         RBS1847 |          |                   |
|  89042 |                      89042 |  100.30338 | -45.87356 | 0.094 | 254.86 |  25.92 |    False |   False |                            |                         |  89042 |                     |                    |                 |          |                   |
|  99289 |                ABELL S1022 |  -23.66223 | -64.25914 | 0.095 | 324.85 |  45.25 |    False |    True |                            |             ABELL S1022 |  99289 |                     |                    |                 |          |                   |
