|   name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |
|  79325 | -131.57538 | -27.76739 | 0.307 | 337.65 |  82.64 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
|  71139 | -131.26523 | -15.38499 | 0.225 | 346.58 | 129.06 |    False |    True |               |         |                         |                     | PSZ2 G346.61+35.06 |                 |          |                   |       |
|  58250 | -131.22996 |  -2.80078 | 0.113 | 357.79 |  51.69 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
|  53587 | -131.17966 |   4.39450 | 0.098 |   5.82 |  79.16 |    False |    True |               |         |              ABELL 2048 | ACT-CL J1515.2+0423 |                    |                 |          |                   |       |
|  79322 | -130.95086 | -27.64162 | 0.341 | 338.23 | 110.54 |    False |    True |               |         |                         |                     |                    |                 |          |                   |       |
|  58218 | -130.90914 |   0.12953 | 0.120 |   1.18 |  64.43 |    False |    True |               |         |              ABELL 2050 | ACT-CL J1516.3+0005 |                    |           A2050 |          |                   |       |
|  58230 | -130.82656 |  -0.93295 | 0.119 |   0.11 |  78.77 |    False |    True |               |         |              ABELL 2051 |                     | PSZ2 G000.04+45.13 |                 |          |                   |       |
|  58224 | -130.76570 |  -0.61522 | 0.117 |   0.51 |  27.52 |    False |   False |               |         |              ABELL 2053 |                     |                    |                 |          |                   |       |
|  53589 | -130.12668 |   4.35910 | 0.085 |   6.73 |  27.30 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
|  79396 | -129.97772 | -28.43143 | 0.107 | 338.49 |  40.03 |    False |   False |               |         |              ABELL 3618 |                     |                    |                 |          |                   |       |
|  79397 | -129.97551 | -28.55728 | 0.123 | 338.41 |  47.74 |    False |   False |               |         |              ABELL 3618 |                     |                    |                 |          |                   |       |
|  58202 | -129.96950 |   2.03234 | 0.243 |   4.16 |  58.64 |    False |   False |               |         |                         |                     |                    |                 |          |                   |       |
