|                name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |                   Abell |               PSZ2 |
| ACT-CL J0052.7-4551 |   13.19506 | -45.86075 | 0.358 | 302.20 |  3.55 |    False |   False |  SPLUS-s35s08 |                    |                         |                    |
| ACT-CL J0053.5+0329 |   13.39120 |   3.49726 | 0.421 | 123.97 |  3.50 |    False |   False |               |                    |                         |                    |
| ACT-CL J0054.3-4046 |   13.58758 | -40.77500 | 0.407 | 300.60 |  2.52 |    False |   False |  SPLUS-s31s09 |                    |                         |                    |
| ACT-CL J0055.7-1054 |   13.92736 | -10.90476 | 0.413 | 126.68 |  4.27 |    False |   False |               |                    |                         |                    |
| ACT-CL J0056.0-3732 |   14.00823 | -37.54599 | 0.163 | 297.91 |  3.71 |    False |   False |  SPLUS-s29s09 |                    |             ABELL S0102 |                    |
| ACT-CL J0057.3-5223 |   14.34445 | -52.38888 | 0.344 | 300.81 |  2.91 |    False |   False |  SPLUS-s40s08 |                    |             ABELL S0110 |                    |
| ACT-CL J0059.1-4955 |   14.79467 | -49.92581 | 0.442 | 299.72 |  2.97 |    False |   False |  SPLUS-s39s08 |                    |                         |                    |
| ACT-CL J0059.4+0343 |   14.86501 |   3.72495 | 0.272 | 126.83 |  2.16 |    False |   False |               |                    |                         |                    |
| ACT-CL J0100.2+0151 |   15.05078 |   1.85290 | 0.401 | 127.44 |  2.67 |    False |   False |               |                    |                         |                    |
| ACT-CL J0100.5-4749 |   15.12766 | -47.81760 | 0.423 | 298.63 |  3.05 |    False |   False |  SPLUS-s37s09 |                    |                         |                    |
| ACT-CL J0100.9-4448 |   15.24024 | -44.80862 | 0.378 | 297.39 |  3.21 |    False |   False |  SPLUS-s35s09 |                    |                         |                    |
| ACT-CL J0101.6+0236 |   15.41739 |   2.60850 | 0.326 | 128.07 |  2.92 |    False |   False |               |                    |                         |                    |
| ACT-CL J0101.6-3840 |   15.42469 | -38.67418 | 0.258 | 293.05 |  3.49 |    False |   False |  SPLUS-s30s10 |                    |              ABELL 2856 |                    |
| ACT-CL J0102.7+0108 |   15.68014 |   1.13817 | 0.143 | 128.87 |  3.00 |    False |   False | STRIPE82_0024 |                    |                         |                    |
| ACT-CL J0102.8-0022 |   15.71685 |  -0.36685 | 0.416 | 129.26 |  2.83 |    False |   False | STRIPE82_0023 |                    |                         |                    |
| ACT-CL J0102.8+0005 |   15.72224 |   0.09438 | 0.357 | 129.17 |  2.40 |    False |   False | STRIPE82_0024 |                    |                         |                    |
| ACT-CL J0103.8-0103 |   15.95413 |  -1.05413 | 0.289 | 129.94 |  2.47 |    False |   False | STRIPE82_0023 |                    |                         |                    |
| ACT-CL J0104.5-3312 |   16.13333 | -33.20419 | 0.282 | 278.76 |  2.48 |    False |   False |  SPLUS-s26s11 |                    |                         |                    |
| ACT-CL J0104.9+0003 |   16.22939 |   0.05483 | 0.273 | 130.28 |  3.65 |    False |   False | STRIPE82_0024 |                    |                         | PSZ2 G130.21-62.60 |
| ACT-CL J0105.0+0201 |   16.25842 |   2.02430 | 0.197 | 129.88 |  3.77 |    False |   False |               |                    |                         |                    |
| ACT-CL J0105.5-1242 |   16.37919 | -12.71667 | 0.323 | 136.51 |  3.92 |    False |   False |               |                    |                         |                    |
| ACT-CL J0105.5-2438 |   16.39281 | -24.64324 | 0.230 | 175.70 |  8.17 |    False |    True |  SPLUS-s19s12 |                    |              ABELL 0141 | PSZ2 G175.69-85.98 |
| ACT-CL J0106.0-3700 |   16.52497 | -37.01069 | 0.264 | 286.43 |  2.43 |    False |   False |  SPLUS-s29s11 |                    |                         |                    |
| ACT-CL J0106.3-4154 |   16.58838 | -41.90174 | 0.412 | 292.21 |  2.89 |    False |   False |  SPLUS-s32s10 |                    |                         |                    |
| ACT-CL J0106.4-5942 |   16.61648 | -59.71658 | 0.348 | 299.42 |  4.94 |    False |   False |  SPLUS-s46s07 |                    |                         | PSZ2 G299.38-57.32 |
| ACT-CL J0106.6-5759 |   16.65416 | -58.00000 | 0.284 | 299.03 |  2.54 |    False |   False |  SPLUS-s45s08 |                    |                         |                    |
| ACT-CL J0106.8+0103 |   16.70288 |   1.05371 | 0.254 | 131.03 |  3.70 |    False |   False | STRIPE82_0026 |                    |                         |                    |
| ACT-CL J0106.8-0228 |   16.71675 |  -2.48333 | 0.189 | 132.11 |  2.49 |    False |   False |               |                    |              ABELL 0145 |                    |
| ACT-CL J0107.5-4403 |   16.89579 | -44.06391 | 0.382 | 293.11 |  2.76 |    False |   False |  SPLUS-s34s10 |                    |              ABELL 2869 |                    |
| ACT-CL J0107.9-4311 |   16.99164 | -43.19169 | 0.240 | 292.21 |  2.36 |    False |   False |  SPLUS-s33s10 |                    |              ABELL 2872 |                    |
| ACT-CL J0108.0+0251 |   17.00895 |   2.85806 | 0.326 | 131.18 |  2.74 |    False |   False |               |                    |                         |                    |
| ACT-CL J0108.4-1224 |   17.11667 | -12.41248 | 0.350 | 138.93 |  3.58 |    False |   False |               |                    |                         |                    |
| ACT-CL J0108.4-4341 |   17.11847 | -43.68663 | 0.237 | 292.29 |  2.58 |    False |   False |  SPLUS-s34s10 |                    |              ABELL 2873 |                    |
| ACT-CL J0109.8-3613 |   17.47083 | -36.23333 | 0.308 | 280.80 |  2.55 |    False |   False |  SPLUS-s28s11 |                    |              ABELL 2879 |                    |
| ACT-CL J0110.0-0232 |   17.52085 |  -2.55000 | 0.431 | 134.02 |  2.19 |    False |   False |               |                    |                         |                    |
| ACT-CL J0110.3-4445 |   17.57873 | -44.75931 | 0.378 | 292.05 |  4.51 |    False |   False |  SPLUS-s35s10 |                    |                         |                    |
| ACT-CL J0111.1-3609 |   17.78750 | -36.16667 | 0.315 | 279.29 |  2.39 |    False |   False |  SPLUS-s28s12 |                    |              ABELL 2879 |                    |
| ACT-CL J0112.0-0043 |   18.01785 |  -0.72605 | 0.179 | 134.41 |  2.46 |    False |   False | STRIPE82_0027 |                    |                         |                    |
| ACT-CL J0112.4+0333 |   18.11665 |   3.55442 | 0.403 | 133.13 |  3.15 |    False |   False |               |                    |                         |                    |
| ACT-CL J0113.4-2718 |   18.35261 | -27.31119 | 0.431 | 216.33 |  3.49 |    False |   False |  SPLUS-s21s13 |                    |                         |                    |
| ACT-CL J0114.7-4123 |   18.67620 | -41.39537 | 0.379 | 285.90 |  7.04 |    False |    True |  SPLUS-s32s11 |                    |                         | PSZ2 G285.87-74.93 |
