zbin,name,Cluster Name,ra,dec,z,gal_l,mass,complete,lowmass,CHANCES,Abell,CODEX,ACT-DR5,PSZ2,LoVoCCS,HIFLUGCS,MeerKAT,m200,c200,r200,d200
2,PSZ2 G000.40-41.86,ABELL 3739,316.08448,-41.35417,0.165,0.4,7.15,False,True,,ABELL 3739,87428,ACT-CL J2104.3-4120,PSZ2 G000.40-41.86,,,,10.26,4.1,2.01,11.48
2,PSZ2 G024.44+22.76,ACT-CL J1715.1+0309,258.83517,3.17182,0.165,24.44,6.08,False,True,,,,ACT-CL J1715.1+0309,PSZ2 G024.44+22.76,,,,8.76,4.07,1.91,10.91
2,PSZ2 G249.38+33.26,Abell0907,149.60178,-11.06901,0.167,249.38,7.29,False,True,Abell0907,ABELL 0907,66133,,PSZ2 G249.38+33.26,,,,10.47,4.11,2.03,11.45
2,PSZ2 G225.56-27.27,ABELL 0543,82.65066,-22.45935,0.171,225.57,4.78,False,True,,ABELL 0543,73516,ACT-CL J0530.6-2227,PSZ2 G225.56-27.27,,,,6.89,4.05,1.76,9.77
2,PSZ2 G005.91-28.26,ABELL 3654,299.80687,-34.89178,0.173,5.91,5.78,False,True,,ABELL 3654,,,PSZ2 G005.91-28.26,,,,8.33,4.07,1.87,10.29
2,PSZ2 G245.47-53.62,ABELL 3140,54.06088,-40.62374,0.173,245.48,5.96,False,True,,ABELL 3140,,ACT-CL J0336.2-4037,PSZ2 G245.47-53.62,,,,8.59,4.08,1.89,10.39
2,PSZ2 G188.57-68.86,ABELL 2985,32.95654,-17.03482,0.174,188.58,4.51,False,True,,ABELL 2985,68800,ACT-CL J0211.8-1701,PSZ2 G188.57-68.86,,,,6.49,4.04,1.72,9.41
2,PSZ2 G249.87-21.65,ABELL 3396,97.19544,-41.7119,0.176,249.87,5.18,False,True,,ABELL 3396,85281,ACT-CL J0628.8-4143,PSZ2 G249.87-21.65,,,,7.47,4.06,1.8,9.77
2,PSZ2 G039.85-39.96,ABELL 2345,321.75144,-12.16167,0.176,39.85,7.98,False,True,,ABELL 2345,67938,ACT-CL J2127.0-1210,PSZ2 G039.85-39.96,,,,11.46,4.14,2.08,11.26
2,PSZ2 G358.98-67.26,ABELL 3984,348.92656,-37.7791,0.179,358.99,7.05,False,True,,ABELL 3984,87733,ACT-CL J2315.7-3747,PSZ2 G358.98-67.26,,,,10.12,4.11,1.99,10.67
2,PSZ2 G173.90-51.89,ABELL 0381,41.51149,-0.74336,0.179,173.91,5.04,False,True,,ABELL 0381,55606,ACT-CL J0245.8-0042,PSZ2 G173.90-51.89,,,,7.27,4.05,1.79,9.52
2,PSZ2 G301.11+60.05,ABELL 1612,191.95286,-2.80029,0.18,301.12,5.96,False,True,,ABELL 1612,57790,,PSZ2 G301.11+60.05,,,,8.58,4.08,1.89,10.05
2,PSZ2 G328.58-25.25,101226,284.01773,-66.94046,0.18,328.59,5.16,False,True,,,101226,,PSZ2 G328.58-25.25,,,,7.43,4.06,1.8,9.57
2,PSZ2 G262.83+25.77,ABELL 0955,153.2577,-24.50361,0.18,262.83,5.03,False,True,,ABELL 0955,74549,,PSZ2 G262.83+25.77,,,,7.25,4.05,1.78,9.48
2,PSZ2 G291.34-55.31,97021,26.31629,-60.58803,0.181,291.35,4.97,False,True,,,97021,,PSZ2 G291.34-55.31,,,MCXC J0145.2-6033,7.17,4.05,1.78,9.42
2,PSZ2 G174.40-57.33,ABELL 0362,37.93007,-4.86115,0.184,174.41,5.34,False,True,,ABELL 0362,60155,ACT-CL J0231.7-0453,PSZ2 G174.40-57.33,,,,7.7,4.06,1.82,9.48
2,PSZ2 G022.12-38.81,ACT-CL J2102.1-2431,315.55111,-24.57287,0.188,22.12,5.03,False,True,,,,ACT-CL J2102.1-2431,PSZ2 G022.12-38.81,,,,7.25,4.06,1.78,9.13
