Cluster Name,RA_J2000,Dec_J2000,z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA,DECam,SPLUS,Comments,coords,PSZ2_idx,ACT-DR5_idx,ACT-DR5,MCXC_idx,MCXC,MeerKAT_idx,MeerKAT,MKDiffuse_idx,MKDiffuse,XMM_idx,XMM,m500_PSZ2,m500_PSZ2_corr,m500_ACT,m500_MCXC,m500_MCXC_corr,m500,m200,c200,r200,d200,Nspec,Nspec_z
PSZ2 G208.60-26.00,77.699,-8.029,0.2195,208.615,-25.999,PSZ2 G208.60-26.00,7.744,J0510.7-0801,1724,9.101,VHS,DR10,,MeerKAT MUSE,"77.699,-8.029",937,1723,ACT-CL J0510.7-0801,371,J0510.7-0801,37,MCXC J0510.7-0801,47,RXC J0510.7-0801,-99,,7.74,10.45,9.10,6.08,9.21,9.10,13.01,4.22,2.14,9.72,1884,619
PSZ2 G262.27-35.38,79.153,-54.52,0.2952,262.254,-35.38,PSZ2 G262.27-35.38,8.759,J0516.6-5430,1737,6.159,VHS,DR9,,MeerKAT MUSE Foex+2017,"79.153,-54.52",1207,1736,ACT-CL J0516.6-5430,376,J0516.6-5430,66,MCXC J0516.6-5430,78,J0516.6-5430,-99,,8.76,11.82,6.16,7.72,11.69,6.16,8.83,4.16,1.83,6.69,604,355
PSZ2 G244.37-32.15,82.221,-39.471,0.2839,244.374,-32.141,PSZ2 G244.37-32.15,7.406,J0528.8-3927,1777,8.976,VHS,DR9,,MeerKAT MUSE GMRT-SUCCESS,"82.221,-39.471",1106,1776,ACT-CL J0528.8-3927,389,J0528.9-3927,68,MCXC J0528.9-3927,81,J0528.9-3927,-99,,7.41,9.99,8.98,7.55,11.42,8.98,12.79,4.29,2.07,7.81,376,243
PSZ2 G241.76-30.88,83.233,-37.026,0.2708,241.747,-30.879,PSZ2 G241.76-30.88,7.004,J0532.9-3701,1787,10.487,VHS,DR9,,MUSE,"83.233,-37.026",1090,1786,ACT-CL J0532.9-3701,395,J0532.9-3701,-99,,-99,,-99,,7.00,9.45,10.49,5.11,7.73,10.49,14.90,4.35,2.19,8.54,210,25
PSZ2 G263.14-23.41,99.725,-53.981,0.2266,263.149,-23.418,PSZ2 G263.14-23.41,6.826,J0638.7-5358,1893,12.543,VHS,DR10,,MeerKAT,"99.725,-53.981",1213,1892,ACT-CL J0638.7-5358,448,J0638.7-5358,83,MCXC J0638.7-5358,86,J0638.7-5358,-99,,6.83,9.21,12.54,6.88,10.41,12.54,17.79,4.40,2.37,10.51,223,50
PSZ2 G263.68-22.55,101.372,-54.219,0.1644,263.67,-22.546,PSZ2 G263.68-22.55,7.964,J0645.4-5413,1896,11.181,VHS,DR10,,Abell 3404 MeerKAT MUSE,"101.372,-54.219",1217,1895,ACT-CL J0645.4-5413,451,J0645.4-5413,84,MCXC J0645.4-5413,87,J0645.4-5413,-99,,7.96,10.74,11.18,5.82,8.80,11.18,15.96,4.25,2.33,13.35,336,118
PSZ2 G266.83+25.08,155.962,-27.258,0.2542,266.827,25.078,PSZ2 G266.83+25.08,7.367,Outside ACT,0,,VHS,DR10,SPLUS obs,,"155.962,-27.258",1234,-99,,676,J1023.8-2715,-99,,-99,,-99,,7.37,9.94,-1.00,7.71,11.67,9.94,14.14,4.30,2.17,8.84,159,17
Abell1650,194.675,-1.759,0.085,306.683,61.059,PSZ2 G306.66+61.06,4.446,J1258.7-0145,2633,8.051,VHS,DR9,SPLUS obs,,"194.675,-1.759",1449,2632,ACT-CL J1258.7-0145,939,J1258.6-0145,-99,,-99,,-99,,4.45,6.00,8.05,4.12,6.24,8.05,11.60,4.07,2.16,21.80,14550,4417
Abell1651,194.843,-4.196,0.086,306.733,58.617,PSZ2 G306.77+58.61,5.074,J1259.3-0410,2636,6.384,VHS,DR9,SPLUS obs,,"194.843,-4.196",1450,2635,ACT-CL J1259.3-0410,941,J1259.3-0411,-99,,-99,,-99,,5.07,6.84,6.38,4.39,6.65,6.38,9.20,4.04,2.00,19.96,7486,2971
PSZ2 G313.88-17.11,240.455,-75.754,0.153,313.88,-17.11,PSZ2 G313.88-17.11,7.858,Outside ACT,0,,VHS,NO,,,"240.455,-75.754",1481,-99,,1218,J1601.7-7544,106,MCXC J1601.7-7544,95,J1601.7-7544,-99,,8.03,10.83,-1.00,6.88,10.41,10.83,15.48,4.22,2.32,14.07,420,169
PSZ2 G347.17-27.36,293.723,-50.878,0.2371,347.176,-27.361,PSZ2 G347.17-27.36,7.185,J1934.9-5050,3377,5.333,VHS,DR10,,,"293.723,-50.878",1617,3376,ACT-CL J1934.9-5050,1460,J1934.7-5053,-99,,-99,,-99,,7.19,9.69,5.33,4.97,7.52,5.33,7.68,4.09,1.78,7.65,61,13
PSZ2 G342.33-34.93,305.853,-55.575,0.232,342.337,-34.936,PSZ2 G342.33-34.93,6.678,J2023.3-5535,3398,9.497,VHS,DR9,,MeerKAT,"305.853,-55.575",1599,3397,ACT-CL J2023.3-5535,1495,J2023.4-5535,111,MCXC J2023.4-5535,97,J2023.4-5535,-99,,6.68,9.01,9.50,4.40,6.65,9.50,13.56,4.25,2.16,9.41,217,25
Abell3827,330.469,-59.939,0.098,332.239,-46.378,PSZ2 G332.23-46.37,5.771,J2201.8-5956,3650,8.672,VHS,DR9,,,"330.469,-59.939",1559,3649,ACT-CL J2201.8-5956,1585,J2201.9-5956,-99,,-99,,-99,,5.77,7.78,8.67,4.59,6.95,8.67,12.46,4.10,2.20,19.57,1557,948
